step,time,Ua,Ub,Uc,Ia,Ib,Ic
80,0.02,4.19596e-13,-86.6025,86.6025,-0.12941,-0.353553,0.482963
81,0.02025,7.84591,-90.2585,82.4126,-0.0911178,-0.380203,0.471321
82,0.0205,15.6434,-93.358,77.7146,-0.0522642,-0.404508,0.456773
83,0.02075,23.3445,-95.882,72.5374,-0.0130885,-0.42632,0.439409
84,0.021,30.9017,-97.8148,66.9131,0.026168,-0.445503,0.419335
85,0.02125,38.2683,-99.1445,60.8761,0.0652631,-0.46194,0.396677
86,0.0215,45.399,-99.863,54.4639,0.103956,-0.475528,0.371572
87,0.02175,52.2499,-99.9657,47.7159,0.142008,-0.486185,0.344177
88,0.022,58.7785,-99.4522,40.6737,0.179184,-0.493844,0.31466
89,0.02225,64.9448,-98.3255,33.3807,0.215256,-0.498459,0.283203
90,0.0225,70.7107,-96.5926,25.8819,0.25,-0.5,0.25
91,0.02275,76.0406,-94.2641,18.2236,0.283203,-0.498459,0.215256
92,0.023,80.9017,-91.3545,10.4528,0.31466,-0.493844,0.179184
93,0.02325,85.264,-87.8817,2.61769,0.344177,-0.486185,0.142008
94,0.0235,89.1007,-83.8671,-5.2336,0.371572,-0.475528,0.103956
95,0.02375,92.388,-79.3353,-13.0526,0.396677,-0.46194,0.0652631
96,0.024,95.1057,-74.3145,-20.7912,0.419335,-0.445503,0.026168
97,0.02425,97.237,-68.8355,-28.4015,0.439409,-0.42632,-0.0130885
98,0.0245,98.7688,-62.932,-35.8368,0.456773,-0.404508,-0.0522642
99,0.02475,99.6917,-56.6406,-43.0511,0.471321,-0.380203,-0.0911178
100,0.025,100,-50,-50,0.482963,-0.353553,-0.12941
101,0.02525,99.6917,-43.0511,-56.6406,0.491627,-0.324724,-0.166903
102,0.0255,98.7688,-35.8368,-62.932,0.497261,-0.293893,-0.203368
103,0.02575,97.237,-28.4015,-68.8355,0.499829,-0.261249,-0.238579
104,0.026,95.1057,-20.7912,-74.3145,0.499315,-0.226995,-0.27232
105,0.02625,92.388,-13.0526,-79.3353,0.495722,-0.191342,-0.304381
106,0.0265,89.1007,-5.2336,-83.8671,0.489074,-0.154508,-0.334565
107,0.02675,85.264,2.61769,-87.8817,0.47941,-0.116723,-0.362687
108,0.027,80.9017,10.4528,-91.3545,0.46679,-0.0782172,-0.388573
109,0.02725,76.0406,18.2236,-94.2641,0.451293,-0.0392295,-0.412063
110,0.0275,70.7107,25.8819,-96.5926,0.433013,2.98616e-15,-0.433013
111,0.02775,64.9448,33.3807,-98.3255,0.412063,0.0392295,-0.451293
112,0.028,58.7785,40.6737,-99.4522,0.388573,0.0782172,-0.46679
113,0.02825,52.2499,47.7159,-99.9657,0.362687,0.116723,-0.47941
114,0.0285,45.399,54.4639,-99.863,0.334565,0.154508,-0.489074
115,0.02875,38.2683,60.8761,-99.1445,0.304381,0.191342,-0.495722
116,0.029,30.9017,66.9131,-97.8148,0.27232,0.226995,-0.499315
117,0.02925,23.3445,72.5374,-95.882,0.238579,0.261249,-0.499829
118,0.0295,15.6434,77.7146,-93.358,0.203368,0.293893,-0.497261
119,0.02975,7.84591,82.4126,-90.2585,0.166903,0.324724,-0.491627
120,0.03,-6.73803e-13,86.6025,-86.6025,0.12941,0.353553,-0.482963
121,0.03025,-7.84591,90.2585,-82.4126,0.0911178,0.380203,-0.471321
122,0.0305,-15.6434,93.358,-77.7146,0.0522642,0.404508,-0.456773
123,0.03075,-23.3445,95.882,-72.5374,0.0130885,0.42632,-0.439409
124,0.031,-30.9017,97.8148,-66.9131,-0.026168,0.445503,-0.419335
125,0.03125,-38.2683,99.1445,-60.8761,-0.0652631,0.46194,-0.396677
126,0.0315,-45.399,99.863,-54.4639,-0.103956,0.475528,-0.371572
127,0.03175,-52.2499,99.9657,-47.7159,-0.142008,0.486185,-0.344177
128,0.032,-58.7785,99.4522,-40.6737,-0.179184,0.493844,-0.31466
129,0.03225,-64.9448,98.3255,-33.3807,-0.215256,0.498459,-0.283203
130,0.0325,-70.7107,96.5926,-25.8819,-0.25,0.5,-0.25
131,0.03275,-76.0406,94.2641,-18.2236,-0.283203,0.498459,-0.215256
132,0.033,-80.9017,91.3545,-10.4528,-0.31466,0.493844,-0.179184
