step,time,U1_A,U1_B,U1_C,I1_A,I1_B,I1_C,abs(U1_A),abs(U1_B),abs(U1_C),abs(I1_A),abs(I1_B),abs(I1_C),abs(3U0),abs(3I0),ovcp(1),ovcp(2),zccp(1),zccp(1)
45,0.01125,92.388,-13.0526,-79.3353,0.495722,-0.191342,-0.191342,50.0005,47.9523,48.0368,0.249182,0.24383,0.25,0.117462,0.0120741,0,0,0,0
46,0.0115,89.1007,-5.2336,-83.8671,0.489074,-0.154508,-0.154508,50.0005,47.9523,48.0368,0.249182,0.24383,0.25,0.117462,0.0120741,0,0,0,0
47,0.01175,85.264,2.61769,-87.8817,0.47941,-0.116723,-0.116723,50.0005,47.9523,48.0368,0.249182,0.24383,0.25,0.117462,0.0120741,0,0,0,0
48,0.012,80.9017,10.4528,-91.3545,0.46679,-0.0782172,-0.0782172,50.0005,47.9523,48.0368,0.249182,0.24383,0.25,0.117462,0.0120741,0,0,0,0
49,0.01225,76.0406,18.2236,-94.2641,0.451293,-0.0392295,-0.0392295,50.0005,47.9523,48.0368,0.249182,0.24383,0.25,0.117462,0.0120741,0,0,0,0
50,0.0125,70.7107,25.8819,-96.5926,0.433013,8.88178e-16,8.88178e-16,50.0005,47.9523,48.0368,0.249182,0.24383,0.25,0.117462,0.0120741,0,0,0,0
51,0.01275,64.9448,33.3807,-98.3255,0.412063,0.0392295,0.0392295,50.0005,47.9523,48.0368,0.249182,0.24383,0.25,0.117462,0.0120741,0,0,0,0
52,0.013,58.7785,40.6737,-99.4522,0.388573,0.0782172,0.0782172,50.0005,47.9523,48.0368,0.249182,0.24383,0.25,0.117462,0.0120741,0,0,0,0
53,0.01325,52.2499,47.7159,-99.9657,0.362687,0.116723,0.116723,50.0005,47.9523,48.0368,0.249182,0.24383,0.25,0.117462,0.0120741,0,0,0,0
54,0.0135,45.399,54.4639,-99.863,0.334565,0.154508,0.154508,50.0005,47.9523,48.0368,0.249182,0.24383,0.25,0.117462,0.0120741,0,0,0,0
55,0.01375,38.2683,60.8761,-99.1445,0.304381,0.191342,0.191342,50.0005,47.9523,48.0368,0.249182,0.24383,0.25,0.117462,0.0120741,0,0,0,0
56,0.014,30.9017,66.9131,-97.8148,0.27232,0.226995,0.226995,50.0005,47.9523,48.0368,0.249182,0.24383,0.25,0.117462,0.0120741,0,0,0,0
57,0.01425,23.3445,72.5374,-95.882,0.238579,0.261249,0.261249,50.0005,47.9523,48.0368,0.249182,0.24383,0.25,0.117462,0.0120741,0,0,0,0
58,0.0145,15.6434,77.7146,-93.358,0.203368,0.293893,0.293893,50.0005,47.9523,48.0368,0.249182,0.24383,0.25,0.117462,0.0120741,0,0,0,0
59,0.01475,7.84591,82.4126,-90.2585,0.166903,0.324724,0.324724,50.0005,47.9523,48.0368,0.249182,0.24383,0.25,0.117462,0.0120741,0,0,0,0
60,0.015,-2.09798e-13,86.6025,-86.6025,0.12941,0.353553,0.353553,75.3956,87.6876,60.4099,0.336154,0.448164,0.34821,0.117464,0.0120742,0,0,0,0
61,0.01525,-7.84591,90.2585,-82.4126,0.0911178,0.380203,0.380203,75.3956,87.6876,60.4099,0.336154,0.448164,0.34821,0.117464,0.0120742,0,0,0,0
62,0.0155,-15.6434,93.358,-77.7146,0.0522642,0.404508,0.404508,75.3956,87.6876,60.4099,0.336154,0.448164,0.34821,0.117464,0.0120742,0,0,0,0
63,0.01575,-23.3445,95.882,-72.5374,0.0130885,0.42632,0.42632,75.3956,87.6876,60.4099,0.336154,0.448164,0.34821,0.117464,0.0120742,0,0,0,0
64,0.016,-30.9017,97.8148,-66.9131,-0.026168,0.445503,0.445503,75.3956,87.6876,60.4099,0.336154,0.448164,0.34821,0.117464,0.0120742,0,0,0,0
65,0.01625,-38.2683,99.1445,-60.8761,-0.0652631,0.46194,0.46194,75.3956,87.6876,60.4099,0.336154,0.448164,0.34821,0.117464,0.0120742,0,0,0,0
66,0.0165,-45.399,99.863,-54.4639,-0.103956,0.475528,0.475528,75.3956,87.6876,60.4099,0.336154,0.448164,0.34821,0.117464,0.0120742,0,0,0,0
